Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage-VI Backpiece Leftover welding,SW0160,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 03:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 03:15:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 03:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage I Machine- B&C machine,RF0110,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 03:25:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-I SW Skeleton Tack Welding,SW0110,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 03:45:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,TRC (AC Track recording Car),2022-05-09 03:00:00,2022-05-09 06:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,TRC (AC Track recording Car),2022-05-09 03:15:00,2022-05-09 06:30:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 06:35:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,TRC (AC Track recording Car),2022-05-09 03:20:00,2022-05-09 06:40:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 06:45:00,['Trough Sheets'],['Trough Sheets'],0
Stage II Robotic Endwall Welding Station,EW0120,TRC (AC Track recording Car),2022-05-09 03:15:00,2022-05-09 06:45:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,TRC (AC Track recording Car),2022-05-09 06:45:00,2022-05-09 06:47:00,['Output LHB END Wall'],['End wall Complete'],0
Stage I Machine- B&C machine,RF0110,TRC (AC Track recording Car),2022-05-09 03:25:00,2022-05-09 06:50:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage II Manual JIG 9.2,RF0120,TRC (AC Track recording Car),2022-05-09 03:25:00,2022-05-09 07:00:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,TRC (AC Track recording Car),2022-05-09 03:20:00,2022-05-09 07:05:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,TRC (AC Track recording Car),2022-05-09 00:00:00,2022-05-09 07:10:00,['Supporting Members'],['Supporting Members'],0
Stage-II Robotic Spot Welding,SW0120,TRC (AC Track recording Car),2022-05-09 03:45:00,2022-05-09 07:10:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-I SW Skeleton Tack Welding,SW0110,TRC (AC Track recording Car),2022-05-09 03:45:00,2022-05-09 07:30:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,LWACCN (AC-3Tier),2022-05-09 06:00:00,2022-05-09 09:15:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWACCN (AC-3Tier),2022-05-09 06:40:00,2022-05-09 09:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWACCN (AC-3Tier),2022-05-09 06:30:00,2022-05-09 09:35:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage III Roof Robotic Welding Station,RF0130,TRC (AC Track recording Car),2022-05-09 07:00:00,2022-05-09 10:10:00,['C'],['C'],0
Stage II Robotic Endwall Welding Station,EW0120,TRC (AC Track recording Car),2022-05-09 06:45:00,2022-05-09 10:15:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,TRC (AC Track recording Car),2022-05-09 10:15:00,2022-05-09 10:17:00,['Output LHB END Wall'],['End wall Complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,TRC (AC Track recording Car),2022-05-09 06:40:00,2022-05-09 10:25:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,LWACCN (AC-3Tier),2022-05-09 06:50:00,2022-05-09 10:25:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage II Manual JIG 9.2,RF0120,TRC (AC Track recording Car),2022-05-09 07:00:00,2022-05-09 10:35:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWACCN (AC-3Tier),2022-05-09 07:30:00,2022-05-09 10:35:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,TRC (AC Track recording Car),2022-05-09 07:10:00,2022-05-09 10:45:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,TRC (AC Track recording Car),2022-05-09 10:45:00,2022-05-09 10:46:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage-II Robotic Spot Welding,SW0120,TRC (AC Track recording Car),2022-05-09 07:30:00,2022-05-09 10:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWACCN (AC-3Tier),2022-05-09 09:20:00,2022-05-09 12:00:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage III Robotic Welding upside of Underframe,UF0310,TRC (AC Track recording Car),2022-05-09 07:05:00,2022-05-09 12:05:00,['Underframe frame work'],['Underframe frame work'],0
